                                                                                                       16 Jul 2020 15:26:21
Civil Air Patrol Use Only
Satellite-geo:  J2000 Position & Velocity


       Time (UTCG)              x (km)            y (km)            z (km)        vx (km/sec)    vy (km/sec)    vz (km/sec)
14 Jul 2019 23:12:00.000    -103139.332189    -419793.443761     -84566.792337       0.921455      -0.078153      -0.128243
15 Jul 2019 04:00:00.000     -87112.532422    -420830.415400     -86742.892982       0.933286      -0.041777      -0.123560
15 Jul 2019 08:48:00.000     -70892.444510    -421234.161753     -88834.981998       0.943820      -0.004866      -0.118520
15 Jul 2019 13:36:00.000     -54501.810427    -420995.579311     -90836.921852       0.953018       0.032564      -0.113127
15 Jul 2019 18:24:00.000     -37964.049273    -420105.874851     -92742.636728       0.960842       0.070492      -0.107384
15 Jul 2019 23:12:00.000     -21303.289785    -418556.652925     -94546.118466       0.967247       0.108892      -0.101295
16 Jul 2019 04:00:00.000      -4544.393838    -416340.004928     -96241.434036       0.972193       0.147735      -0.094865
16 Jul 2019 08:48:00.000      12287.028140    -413448.603418     -97822.735920       0.975634       0.186982      -0.088100
16 Jul 2019 13:36:00.000      29164.612912    -409875.797824     -99284.274378       0.977528       0.226593      -0.081005
16 Jul 2019 18:24:00.000      46061.251188    -405615.714320    -100620.412466       0.977833       0.266520      -0.073587
16 Jul 2019 23:12:00.000      62949.107786    -400663.356787    -101825.643096       0.976505       0.306708      -0.065855
17 Jul 2019 04:00:00.000      79799.656152    -395014.709061    -102894.608244       0.973508       0.347099      -0.057818
17 Jul 2019 08:48:00.000      96583.729211    -388666.836834    -103822.120093       0.968806       0.387626      -0.049485
17 Jul 2019 13:36:00.000     113271.587721    -381617.986279    -104603.183025       0.962368       0.428218      -0.040870
17 Jul 2019 18:24:00.000     129833.008405    -373867.679094    -105233.017013       0.954168       0.468800      -0.031984
17 Jul 2019 23:12:00.000     146237.392183    -365416.797814    -105707.079489       0.944190       0.509289      -0.022843
18 Jul 2019 04:00:00.000     162453.895731    -356267.662035    -106021.087423       0.932422       0.549602      -0.013462
18 Jul 2019 08:48:00.000     178451.584603    -346424.085788    -106171.033662       0.918865       0.589649      -0.003857
18 Jul 2019 13:36:00.000     194199.612787    -335891.417704    -106153.201328       0.903529       0.629343       0.005954
18 Jul 2019 18:24:00.000     209667.423175    -324676.549808    -105964.164975       0.886437       0.668593       0.015955
18 Jul 2019 23:12:00.000     224824.976268    -312787.897548    -105600.785964       0.867627       0.707313       0.026130
19 Jul 2019 04:00:00.000     239642.995916    -300235.332069    -105060.182202       0.847149       0.745422       0.036465
19 Jul 2019 08:48:00.000     254093.241191    -287030.066557    -104339.682508       0.825073       0.782846       0.046950
19 Jul 2019 13:36:00.000     268148.788352    -273184.474938    -103436.738326       0.801482       0.819525       0.057582
19 Jul 2019 18:24:00.000     281784.325781    -258711.838792    -102348.794386       0.776479       0.855415       0.068364
19 Jul 2019 23:12:00.000     294976.447885    -243626.000952    -101073.092180       0.750182       0.890496       0.079318
20 Jul 2019 04:00:00.000     307703.926603    -227940.913515     -99606.377649       0.722724       0.924777       0.090481
20 Jul 2019 08:48:00.000     319947.950708    -211670.057177     -97944.489316       0.694251       0.958305       0.101921
20 Jul 2019 13:36:00.000     331692.272208    -194825.716789     -96081.754595       0.664913       0.991172       0.113749
20 Jul 2019 18:24:00.000     342923.210756    -177418.099124     -94010.135607       0.634855       1.023529       0.126132
20 Jul 2019 23:12:00.000     353629.402665    -159454.294091     -91718.009221       0.604195       1.055587       0.139322
21 Jul 2019 04:00:00.000     363801.112212    -140937.137487     -89188.440072       0.572997       1.087626       0.153687
21 Jul 2019 08:48:00.000     373428.821341    -121864.128994     -86396.777081       0.541211       1.119980       0.169761
21 Jul 2019 13:36:00.000     382500.642689    -102226.802051     -83307.426571       0.508595       1.152994       0.188286
21 Jul 2019 18:24:00.000     390997.929339     -82011.387268     -79869.849923       0.474585       1.186910       0.210250
21 Jul 2019 23:12:00.000     398888.440049     -61202.384833     -76014.478651       0.438147       1.221635       0.236850
22 Jul 2019 04:00:00.000     406117.105558     -39791.565554     -71650.752795       0.397668       1.256340       0.269256
22 Jul 2019 08:48:00.000     412596.892255     -17794.834337     -66672.058151       0.351127       1.288989       0.308022
22 Jul 2019 13:36:00.000     418207.059852       4724.593095     -60974.108730       0.296827       1.316183       0.352162
22 Jul 2019 18:24:00.000     422809.522352      27638.337015     -54488.365183       0.234680       1.334032       0.398500
22 Jul 2019 23:12:00.000     426285.716272      50760.005119     -47216.205802       0.167059       1.340053       0.442384
23 Jul 2019 04:00:00.000     428574.968996      73883.919171     -39237.637089       0.098017       1.334585       0.479741
23 Jul 2019 08:48:00.000     429687.291609      96832.193499     -30685.122172       0.031368       1.320267       0.508708
23 Jul 2019 13:36:00.000     429686.359035     119480.226604     -21703.571657      -0.030591       1.300347       0.529573
23 Jul 2019 18:24:00.000     428661.734944     141755.202218     -12421.747947      -0.087083       1.277447       0.543730
23 Jul 2019 23:12:00.000     426707.429275     163621.481016      -2941.703551      -0.138263       1.253253       0.552766
24 Jul 2019 04:00:00.000     423910.897415     185065.656168       6660.215501      -0.184665       1.228701       0.558034
24 Jul 2019 08:48:00.000     420349.431809     206086.038525      16328.164983      -0.226896       1.204254       0.560553
24 Jul 2019 13:36:00.000     416090.211946     226686.485704      26021.357093      -0.265508       1.180118       0.561057
24 Jul 2019 18:24:00.000     411191.676154     246873.169736      35709.700425      -0.300959       1.156371       0.560064
24 Jul 2019 23:12:00.000     405705.116095     266653.038535      45370.653108      -0.333621       1.133034       0.557938
25 Jul 2019 04:00:00.000     399676.083461     286033.166428      54987.049175      -0.363790       1.110104       0.554944
25 Jul 2019 08:48:00.000     393145.509242     305020.537414      64545.619210      -0.391706       1.087575       0.551273
